T_H_out,L,D_fr,V_0,AR,UA,dP_max,epsilon,Q_dot_diff,dP_H_diff,dP_C_diff,targetParameter,targetdP_max_Regen,Time
740.147490,0.351139,0.788820,0.171603,0.000000,999.913804,150.000000,0.180451,0.000908,-0.000044,0.000001,1000.000000,150.000000,9.000000
742.523874,0.358097,0.762548,0.163540,0.000000,999.938260,175.000000,0.173574,0.001003,-0.000046,0.000001,1000.000000,175.000000,8.000000
744.667052,0.364244,0.740538,0.156883,0.000000,1000.048966,200.000000,0.167363,0.001096,-0.000038,0.000002,1000.000000,200.000000,3.000000
746.640877,0.369688,0.721646,0.151208,0.000000,1000.002208,225.000000,0.161636,0.001190,-0.000030,0.000003,1000.000000,225.000000,4.000000
748.462443,0.374633,0.705179,0.146317,0.000000,1000.017132,250.000000,0.156343,0.001284,-0.000024,0.000005,1000.000000,250.000000,5.000000
750.156523,0.379170,0.690624,0.142039,0.000000,1000.082976,275.000000,0.151415,0.001378,-0.000018,0.000006,1000.000000,275.000000,4.000000
751.757064,0.383301,0.677587,0.138216,0.000000,1000.000757,300.000000,0.146753,0.001473,-0.000013,0.000008,1000.000000,300.000000,5.000000
727.078692,0.370162,0.884775,0.227587,0.000000,1124.891504,100.003674,0.218082,0.000541,0.000000,0.000000,1125.000000,100.000000,6.000000
730.879536,0.380836,0.842333,0.212224,0.000000,1124.931769,125.000000,0.207145,0.000637,-0.000023,0.000000,1125.000000,125.000000,7.000000
733.171075,0.389860,0.809146,0.200471,0.000000,1124.907972,150.000000,0.200534,0.000707,-0.000021,0.000001,1125.000000,150.000000,8.000000
735.208434,0.397633,0.782150,0.191053,0.000000,1124.896120,175.000000,0.194649,0.000775,-0.000026,0.000001,1125.000000,175.000000,8.000000
737.048368,0.404487,0.759529,0.183267,0.000000,1124.935523,200.000000,0.189327,0.000842,-0.000025,0.000002,1125.000000,200.000000,7.000000
738.728509,0.410644,0.740152,0.176684,0.000000,1125.059061,225.000000,0.184462,0.000909,-0.000021,0.000003,1125.000000,225.000000,3.000000
740.291714,0.416163,0.723228,0.170964,0.000000,1125.002039,250.000000,0.179929,0.000976,-0.000017,0.000004,1125.000000,250.000000,4.000000
741.744690,0.421232,0.708274,0.165964,0.000000,1125.021569,275.000000,0.175711,0.001043,-0.000014,0.000006,1125.000000,275.000000,4.000000
743.105068,0.425919,0.694906,0.161536,0.000000,1125.081840,300.000000,0.171758,0.001110,-0.000011,0.000008,1125.000000,300.000000,3.000000
711.056712,0.407756,0.904323,0.261901,0.000000,1249.945612,100.000000,0.263975,0.000274,-0.000100,0.000000,1250.000000,100.000000,6.000000
718.814430,0.418981,0.861251,0.244087,0.000000,1249.926848,125.003354,0.241762,0.000393,0.000000,0.000000,1250.000000,125.000000,7.000000
725.565472,0.428274,0.827660,0.230418,0.000000,1249.882996,150.001132,0.222387,0.000528,0.000000,0.000001,1250.000000,150.000000,8.000000
729.559739,0.436533,0.800181,0.219525,0.000000,1249.875926,175.000000,0.210895,0.000628,-0.000011,0.000001,1250.000000,175.000000,8.000000
731.163130,0.444096,0.777005,0.210579,0.000000,1249.892094,200.000000,0.206264,0.000678,-0.000015,0.000002,1250.000000,200.000000,8.000000
732.631809,0.450857,0.757139,0.202993,0.000000,1249.897370,225.000000,0.202017,0.000729,-0.000014,0.000003,1250.000000,225.000000,4.000000
733.982184,0.457036,0.739837,0.196477,0.000000,1250.076615,250.000000,0.198108,0.000779,-0.000011,0.000004,1250.000000,250.000000,4.000000
735.251277,0.462610,0.724508,0.190718,0.000000,1250.004377,275.000000,0.194430,0.000830,-0.000009,0.000005,1250.000000,275.000000,3.000000
736.437747,0.467778,0.710812,0.185626,0.000000,1250.022905,300.000000,0.190987,0.000880,-0.000008,0.000007,1250.000000,300.000000,3.000000
698.401372,0.444652,0.922465,0.297173,0.000000,1374.880951,100.000000,0.300085,0.000147,-0.000075,0.000000,1375.000000,100.000000,5.000000
705.235694,0.457083,0.878456,0.277028,0.000000,1374.867508,125.000000,0.280590,0.000212,-0.000040,0.000000,1375.000000,125.000000,6.000000
711.171162,0.467425,0.844144,0.261599,0.000000,1374.914117,150.000000,0.263623,0.000286,-0.000025,0.000001,1375.000000,150.000000,7.000000
716.458139,0.476276,0.816227,0.249213,0.000000,1374.928548,175.000000,0.248480,0.000369,-0.000016,0.000001,1375.000000,175.000000,8.000000
721.248909,0.484014,0.792821,0.238945,0.000000,1374.910751,200.000000,0.234735,0.000460,-0.000011,0.000002,1375.000000,200.000000,9.000000
725.648375,0.490895,0.772739,0.230221,0.000000,1374.867954,225.018009,0.222091,0.000558,0.000000,0.000003,1375.000000,225.000000,8.000000
728.988071,0.497265,0.755219,0.222753,0.000000,1375.000670,250.000000,0.212474,0.000647,-0.000007,0.000004,1375.000000,250.000000,3.000000
730.105057,0.503389,0.739564,0.216244,0.000000,1375.000387,275.000000,0.209241,0.000686,-0.000006,0.000005,1375.000000,275.000000,3.000000
731.152523,0.509037,0.725566,0.210471,0.000000,1375.004298,300.000000,0.206206,0.000726,-0.000005,0.000007,1375.000000,300.000000,3.000000
688.156785,0.481013,0.939455,0.333426,0.000000,1499.920988,100.000000,0.329227,0.000083,-0.000055,0.000000,1500.000000,100.000000,5.000000
694.251791,0.494615,0.894559,0.310868,0.000000,1499.899928,125.000000,0.311894,0.000120,-0.000029,0.000000,1500.000000,125.000000,5.000000
699.543925,0.505944,0.859560,0.293592,0.000000,1499.931892,150.000000,0.296815,0.000163,-0.000017,0.000001,1500.000000,150.000000,7.000000
704.261223,0.515632,0.831079,0.279715,0.000000,1499.870867,175.000000,0.283352,0.000210,-0.000012,0.000001,1500.000000,175.000000,8.000000
708.522165,0.524155,0.807218,0.268245,0.000000,1499.916452,200.000000,0.271171,0.000263,-0.000008,0.000001,1500.000000,200.000000,8.000000
712.432135,0.531734,0.786761,0.258505,0.000000,1499.910835,225.000000,0.259977,0.000321,-0.000005,0.000002,1500.000000,225.000000,8.000000
716.053772,0.538567,0.768913,0.250083,0.000000,1499.889615,250.005108,0.249593,0.000383,0.000000,0.000003,1500.000000,250.000000,6.000000
719.418556,0.544837,0.753149,0.242727,0.000000,1500.000767,275.004845,0.239933,0.000449,0.000000,0.000004,1500.000000,275.000000,2.000000
722.577948,0.550597,0.739050,0.236195,0.000000,1500.097251,300.004517,0.230850,0.000520,0.000000,0.000006,1500.000000,300.000000,3.000000
679.717970,0.516879,0.955443,0.370585,0.000000,1624.943616,100.000000,0.353173,0.000049,-0.000036,0.000000,1625.000000,100.000000,4.000000
685.206768,0.531628,0.909710,0.345544,0.000000,1624.921543,125.000000,0.337603,0.000071,-0.000019,0.000000,1625.000000,125.000000,6.000000
689.977392,0.543897,0.874053,0.326349,0.000000,1624.866909,150.000000,0.324048,0.000096,-0.000011,0.000000,1625.000000,150.000000,7.000000
694.216768,0.554451,0.845059,0.310976,0.000000,1624.890538,175.000000,0.311983,0.000125,-0.000007,0.000001,1625.000000,175.000000,7.000000
698.058103,0.563689,0.820751,0.298231,0.000000,1624.841490,200.000000,0.301036,0.000157,-0.000005,0.000001,1625.000000,200.000000,7.000000
701.569749,0.571960,0.799929,0.287447,0.000000,1624.907408,225.000000,0.291015,0.000191,-0.000004,0.000002,1625.000000,225.000000,8.000000
704.823850,0.579412,0.781764,0.278118,0.000000,1624.910874,250.000000,0.281716,0.000229,-0.000002,0.000003,1625.000000,250.000000,8.000000
707.859855,0.586207,0.765700,0.269934,0.000000,1624.906476,275.002837,0.273030,0.000270,0.000000,0.000004,1625.000000,275.000000,7.000000
710.700602,0.592488,0.751347,0.262694,0.000000,1625.002773,300.002659,0.264893,0.000313,0.000000,0.000005,1625.000000,300.000000,2.000000
663.070410,0.553845,0.969443,0.408811,0.000000,1749.966688,100.000000,0.400253,0.000013,-0.000016,0.000000,1750.000000,100.000000,5.000000
675.611758,0.568519,0.923813,0.381068,0.000000,1749.916629,125.000702,0.364807,0.000037,0.000000,0.000000,1750.000000,125.000000,6.000000
681.971487,0.581401,0.887764,0.359883,0.000000,1749.887387,150.000000,0.346784,0.000059,-0.000006,0.000000,1750.000000,150.000000,6.000000
685.819392,0.592776,0.858274,0.342951,0.000000,1749.907070,175.000000,0.335861,0.000077,-0.000004,0.000001,1750.000000,175.000000,7.000000
689.304786,0.602743,0.833552,0.328918,0.000000,1749.858308,200.000000,0.325954,0.000097,-0.000003,0.000001,1750.000000,200.000000,7.000000
692.491806,0.611666,0.812375,0.317042,0.000000,1749.912506,225.000000,0.316884,0.000118,-0.000002,0.000002,1750.000000,225.000000,8.000000
695.444595,0.619710,0.793902,0.306769,0.000000,1749.901069,250.000000,0.308471,0.000142,-0.000002,0.000002,1750.000000,250.000000,8.000000
698.202490,0.627031,0.777563,0.297749,0.000000,1749.829420,275.000000,0.300604,0.000167,-0.000001,0.000003,1750.000000,275.000000,7.000000
700.783857,0.633800,0.762962,0.289766,0.000000,1749.862701,300.001441,0.293232,0.000195,0.000000,0.000005,1750.000000,300.000000,6.000000
648.047834,0.590417,0.982626,0.447740,0.000000,1874.889176,100.000000,0.442557,0.051075,-0.000012,0.000000,1875.000000,100.000000,4.000000
659.494756,0.606340,0.936288,0.417470,0.000000,1874.833952,125.003715,0.410347,0.000010,0.000000,0.000000,1875.000000,125.000000,4.000000
669.431125,0.619523,0.900167,0.394270,0.000000,1874.902286,150.002647,0.382299,0.000024,0.000000,0.000000,1875.000000,150.000000,6.000000
678.294684,0.630731,0.870762,0.375607,0.000000,1874.879939,175.007944,0.357211,0.000047,0.000000,0.000001,1875.000000,175.000000,6.000000
681.889910,0.641345,0.845702,0.360260,0.000000,1874.875639,200.000000,0.347015,0.000061,-0.000001,0.000001,1875.000000,200.000000,7.000000
684.807986,0.650880,0.824179,0.347243,0.000000,1874.830767,225.000000,0.338731,0.000075,-0.000001,0.000002,1875.000000,225.000000,7.000000
687.501146,0.659535,0.805422,0.336027,0.000000,1874.902111,250.000000,0.331076,0.000090,-0.000001,0.000002,1875.000000,250.000000,8.000000
690.016422,0.667415,0.788832,0.326178,0.000000,1874.895814,275.000000,0.323920,0.000107,-0.000001,0.000003,1875.000000,275.000000,8.000000
692.381169,0.674658,0.773985,0.317423,0.000000,1874.841088,300.015226,0.317185,0.000125,0.000000,0.000004,1875.000000,300.000000,7.000000
635.170673,0.626566,0.995225,0.487415,0.000000,1999.942142,100.000000,0.478695,0.011344,-0.000012,0.000000,2000.000000,100.000000,3.000000
645.688066,0.643701,0.948200,0.454542,0.000000,1999.883766,125.008821,0.449203,0.041777,0.000000,0.000000,2000.000000,125.000000,4.000000
