UA(kW/K),Price($-K/kW),Cost($),
101,3117,314817,
203,2770,562310,
304,2708,823232,
405,2575,1042875,
506,2534,1282204,
608,2472,1502976,
709,2454,1739886,
810,2418,1958580,
911,2414,2199154,
1013,2389,2420057,
1014,2389,2422446,
